Lab,Trial,Day,Group,ForagingTime,CauseOfDeath
M,1,1,1,10,
M,2,1,1,11,
M,3,1,1,6,
M,4,1,1,12,
M,5,1,1,12,
M,1,1,2,9,
M,2,1,2,10,
M,3,1,2,5,
M,1,1,3,10,
M,2,1,3,8,
M,3,1,3,9,
M,4,1,3,9,
M,5,1,3,,g
M,1,1,4,8,
M,2,1,4,6,
M,4,1,4,6,
M,5,1,4,7,
M,1,1,5,49,
M,2,1,5,14,
M,3,1,5,5,
M,4,1,5,6,
M,5,1,5,8,
T,1,1,6,7,
T,2,1,6,10,
T,3,1,6,13,
T,4,1,6,8,
T,5,1,6,12,
T,1,1,7,8,
T,2,1,7,10,
T,1,1,8,10,
T,2,1,8,9,
T,3,1,8,,h
T,4,1,8,6,
T,5,1,8,13,
T,1,1,9,15,
T,2,1,9,10,
T,3,1,9,8,
T,4,1,9,,h
T,5,1,9,8,
W,1,1,10,6,
W,2,1,10,6,
W,3,1,10,5,
W,4,1,10,5,
W,5,1,10,8,
W,1,1,11,4,
W,2,1,11,13,
W,3,1,11,12,
W,4,1,11,5,
W,5,1,11,12,
W,1,1,12,21,
W,2,1,12,8,
W,3,1,12,,h
W,4,1,12,9,
W,5,1,12,8,
W,1,1,13,8,
W,2,1,13,6,
W,3,1,13,4,
W,4,1,13,6,
W,5,1,13,4,
W,1,1,14,12,
W,2,1,14,9,
W,1,1,15,10,
W,2,1,15,10,
W,3,1,15,8,
W,4,1,15,7,
W,5,1,15,2,
W,1,1,16,5,
W,2,1,16,3,
W,3,1,16,3,
W,4,1,16,6,
W,5,1,16,5,
M,1,2,1,12,
M,2,2,1,12,
M,3,2,1,8,
M,4,2,1,15,
M,5,2,1,,h
M,1,2,2,5,
M,2,2,2,6,
M,3,2,2,12,
M,1,2,3,14,
M,2,2,3,13,
M,3,2,3,11,
M,4,2,3,10,
M,5,2,3,4,
M,1,2,4,8,
M,2,2,4,8,
M,4,2,4,9,
M,5,2,4,10,
M,1,2,5,13,
M,2,2,5,9,
M,3,2,5,,h
M,4,2,5,5,
M,5,2,5,8,
T,1,2,6,9,
T,2,2,6,12,
T,3,2,6,16,
T,4,2,6,15,
T,5,2,6,6,
T,1,2,7,7,
T,2,2,7,16,
T,1,2,8,7,
T,2,2,8,6,
T,3,2,8,8,
T,4,2,8,6,
T,5,2,8,8,
T,1,2,9,10,
T,2,2,9,10,
T,3,2,9,,h
T,4,2,9,20,
T,5,2,9,14,
W,1,2,10,7,
W,2,2,10,21,
W,3,2,10,17,
W,4,2,10,6,
W,5,2,10,,h
W,1,2,11,15,
W,2,2,11,17,
W,3,2,11,8,
W,4,2,11,,h
W,5,2,11,11,
W,1,2,12,8,
W,2,2,12,8,
W,3,2,12,13,
W,4,2,12,6,
W,5,2,12,8,
W,1,2,13,8,
W,2,2,13,8,
W,3,2,13,5,
W,4,2,13,9,
W,5,2,13,7,
W,1,2,14,8,
W,2,2,14,15,
W,1,2,15,9,
