Habitat,Morphospecies,Count,Group
LL,1,19,1
LL,2,674,1
LL,3,282,1
LL,4,263,1
LL,5,87,1
LL,6,398,1
LL,7,474,1
LL,8,10,1
LL,9,76,1
LL,10,157,1
LL,11,56,1
LL,12,1,1
LL,13,55,1
LL,14,26,1
LL,15,259,1
LL,16,283,1
LL,17,18,1
LL,18,13,1
LL,19,9,1
LL,20,28,1
LL,21,24,2
LL,22,5,2
LL,23,114,2
LL,24,9,2
LL,25,1,2
LL,26,223,2
LL,27,96,2
LL,28,24,3
LL,29,50,3
LL,30,23,3
LL,31,149,3
LL,32,80,3
LL,33,136,3
LL,34,35,3
LL,35,102,3
LL,36,540,3
LL,37,547,3
LL,38,7,4
LL,39,33,4
LL,40,3,4
LL,41,1,4
LL,42,20,5
LL,43,100,5
LL,44,60,5
LL,45,135,5
LL,46,323,5
LL,47,23,5
LL,48,701,5
LL,49,31,5
LL,50,3,5
LL,51,80,5
LL,52,1,5
LL,53,42,5
LL,54,51,5
LL,55,6,5
LL,56,398,5
LL,57,188,5
LL,58,448,6
LL,59,6,6
LL,60,1,6
LL,61,24,6
LL,62,4,6
LL,63,1,7
LL,64,16,7
LL,65,2,7
LL,66,212,7
LL,67,48,7
LL,68,16,7
LL,69,128,7
LL,70,45,7
LL,71,11,7
LL,72,3,8
LL,73,17,8
LL,74,38,8
LL,75,5,9
LL,76,15,9
LL,77,2,9
LL,78,1,9
BH,1,1,1
BH,2,24,1
BH,3,11,1
BH,4,111,1
BH,5,68,1
BH,6,37,1
BH,7,41,1
BH,8,4,1
BH,9,50,1
BH,10,4,1
BH,11,19,1
BH,12,5,1
BH,13,6,2
BH,14,4,2
BH,15,16,2
BH,16,1,2
BH,17,10,2
BH,18,3,2
BH,19,1,3
BH,20,7,3
BH,21,12,3
BH,22,2,4
BH,23,1,5
BH,24,3,6
BH,25,1,6
BH,26,2,7
BH,27,2,7
BH,28,6,7
BH,29,1,7
BH,30,1,8
BH,31,1,8
