Index,Lab,Group,Plot,Spider ID,Body Length,Web Height,Web Diam 1,Web Diam 2,Strand density,# of Radii,Orientation,Stabilimentum,Substrate,Notes 
1,Monday,1,1,Leucauge venusta,4,145,22,9,7,25,20,a,m,
2,Monday,1,1,Gasteracantha cancriformis,10,151,59,35,1,5,63,p,f,
3,Monday,1,1,Neoscona domiciliorum,12,159,81,61,7,13,86,a,f,
4,Monday,1,1,Gasteracantha cancriformis,6,120,27,34,1,5,66,p,m,
5,Monday,1,1,Leucauge venusta,7,107,27,43,3,21,70,a,m,
6,Monday,1,1,Neoscona domiciliorum,10,191,68,63,6,20,75,a,f,
7,Monday,1,2,Gasteracantha cancriformis,4,147,79,33,1,5,64,p,f,
8,Monday,1,2,Nephila clavipes,35,183,82,91,13,48,69,p,f,
9,Monday,1,2,Leucauge venusta,2,143,18,16,6,22,25,a,c,
10,Monday,1,2,Gasteracantha cancriformis,9,146,52,39,4,6,80,p,f,
11,Monday,1,2,Gasteracantha cancriformis,8,100,36,28,1,5,74,p,f,
12,Monday,1,2,Gasteracantha cancriformis,7,136,38,34,5,10,70,p,m,
13,Monday,1,3,Leucauge venusta,3,148,35,33,8,25,35,a,c,
14,Monday,1,3,Leucauge venusta,3,31,24,18,2,17,10,a,m,
15,Monday,1,3,Leucauge venusta,4,67,13,8,9,9,80,a,c,
16,Monday,1,3,Leucauge venusta,6,40,53,11,9,22,70,a,m,
17,Monday,1,3,Leucauge venusta,4,28,39,30,6,30,40,a,m,
18,Monday,1,3,Leucauge venusta,6,15,NA,NA,NA,NA,30,a,m,
19,Monday,1,3,Leucauge venusta,8,107,45,39,4,21,45,a,m,
20,Monday,1,3,Leucauge venusta,1,89,17,14,11,19,5,a,c,
21,Monday,2,1,Gasteracantha cancriformis,6,168,40,26,3,7,50,p,m,
22,Monday,2,1,Leucauge venusta,4,165,10.5,10.5,7,20,5,a,m,
23,Monday,2,1,Leucauge venusta,3,188,38,26.5,12,23,70,a,m,
24,Monday,2,1,Leucauge venusta,4,166,36,26,5,21,45,a,m,
25,Monday,2,1,Leucauge venusta,4,167,20,17,7,18,15,a,m,
26,Monday,2,1,Leucauge venusta,3,155,29.5,23,7,29,45,a,m,
27,Monday,2,1,Leucauge venusta,2,92,12,11,16,22,70,a,c,
28,Monday,2,1,Leucauge venusta,2,167,18,14,6,21,5,a,m,
29,Monday,2,1,Gasteracantha cancriformis,3,185,39,35,1,7,75,p,f,
30,Monday,2,1,Leucauge venusta,4,132,22,12,14,24,5,a,c,
31,Monday,2,2,Leucauge venusta,3,165,27,21,11,27,50,a,m,
32,Monday,2,2,Gasteracantha cancriformis,4,125,30,20,2,7,85,a,f,
33,Monday,2,2,Leucauge venusta,4,67,11,8,11,15,10,a,m,
34,Monday,2,3,Nephila clavipes,19,117,79,61,15,37,85,a,f,
35,Monday,3,1,Nephila clavipes,35,170,84.5,43.5,12,42,75,a,m,
36,Monday,3,1,Nephila clavipes,30,214,69,64,10,32,68,a,m,
37,Monday,3,1,Leucauge venusta,2,165,8,8,5,26,25,a,c,
38,Monday,3,1,Gasteracantha cancriformis,5,173,23,19,3,10,74,p,m,
39,Monday,3,1,Nephila clavipes,34,151.5,71,52,11,50,51,a,f,
40,Monday,3,1,Leucauge venusta,4,104,13,12.5,24,26,2,a,c,
41,Monday,3,1,Gasteracantha cancriformis,7,154,29,25,0,5,68,p,m,
42,Monday,3,2,Gasteracantha cancriformis,8,146.5,26,25,3,5,34,p,m,
43,Monday,3,2,Gasteracantha cancriformis,6.5,179,25,29,NA,6,83,p,m,
44,Monday,3,2,Leucauge venusta,11,117,42,27,8,36,26,a,c,
45,Monday,3,2,Leucauge venusta,5,155,18,17,15,10,8,a,c,
46,Monday,3,2,Gasteracantha cancriformis,12,136,42,24,7,7,70,p,m,
47,Wednesday,Sophia et al.,1,Nephila clavipes,40,230,115,99,11,394,80,a,f,small prey
48,Wednesday,Sophia et al.,1,Leucauge venusta,7,42,40,8,6,16,10,a,c,small prey + damage
49,Wednesday,Sophia et al.,1,Leucauge venusta,15,66,25,22,18,40,50,a,c,
51,Wednesday,Sophia et al.,1,Gasteracantha cancriformis,7,100,38,37,12,28,89,a,c,stabilimentum on edge?
52,Wednesday,Sophia et al.,2,Leucauge venusta,10,58,30,46,16,44,70,a,c,2 webs in close proximity only 1 spider
53,Wednesday,Sophia et al.,2,Gasteracantha cancriformis,5,61,44,39.5,17,42,85,a,m,
54,Wednesday,Sophia et al.,3,Argiope aurantia,30,107,51,45,9,32,89,p,c,"close to boardwalk with palms. Non-random sample, location chosen by mike to include this specific indv."
55,Wednesday,Sophia et al.,3,Leucauge venusta,9,83,24,21,12,38,10,a,c,
56,Wednesday,Sophia et al.,3,Gasteracantha cancriformis,10,108,42,38,19,44,70,a,c,
